Vance Schwartz,U90239305,A0301,LUNES,10:30,11:00
Leslie Neal,U18863892,A7844,JUEVES,0:03,10:19
Finn Weeks,U95913677,A3725,VIERNES,15:22,20:25
Isaiah Ortiz,U37647727,A8704,DOMINGO,9:36,15:40
Drew Allen,U96236338,A5037,MIERCOLES,5:34,21:26
Bo Wolf,U98461553,A4439,JUEVES,0:22,22:55
Molly Whitney,U68905518,A8999,DOMINGO,11:02,21:20
Avye Jimenez,U93034814,A7124,MIERCOLES,3:58,10:33
Avram Nash,U46007895,A6371,MARTES,2:12,7:20
Bell House,U23562019,A4983,MIERCOLES,3:34,6:28
Victoria Jenkins,U32585671,A7299,VIERNES,3:20,14:45
Vladimir Perry,U27755169,A9022,VIERNES,8:09,10:58
Rigel Spears,U47337848,A2902,MIERCOLES,17:02,19:08
Xavier Richard,U20609974,A5464,LUNES,1:39,14:06
Travis Boyer,U86368205,A8428,SABADO,1:18,9:05
Solomon Torres,U69567706,A4031,LUNES,11:23,20:07
Ali Carey,U46167299,A5156,JUEVES,4:55,18:27
Nolan Conway,U51723117,A3694,MARTES,3:38,3:43
Otto Porter,U77166821,A6169,MARTES,7:44,21:58
Lester Carroll,U74957025,A3135,VIERNES,5:13,9:29
Deanna Berry,U32835842,A4081,MARTES,6:07,14:31
Ezra Paul,U90151807,A9417,MIERCOLES,12:36,16:57
Ivan Buckley,U84246483,A1227,JUEVES,14:35,15:08
Nina Foster,U89178854,A9313,MARTES,3:42,22:15
Susan Mays,U75979044,A3409,MIERCOLES,7:44,15:59
Clark Figueroa,U66309237,A9476,MARTES,8:19,16:55
Donna Lott,U69529965,A2990,SABADO,9:43,13:34
Alan Farley,U40089104,A5003,LUNES,7:36,15:06
Castor Small,U90904679,A1095,JUEVES,6:44,8:32
Shafira Jacobson,U49134293,A2362,SABADO,14:10,22:16
Charity Deleon,U69501018,A1995,VIERNES,21:42,22:47
George Mcdaniel,U90295416,A8662,MIERCOLES,3:55,7:38
Allistair Lynn,U19880429,A4848,JUEVES,11:40,19:05
Lyle Briggs,U78239427,A7414,DOMINGO,4:28,5:56
